t,j1,j2,j3
1770814463.2050247,0.0,0.0,0.0
1770814463.2550895,0.0,0.0,0.0
1770814463.3051658,0.0,0.0,0.0
1770814463.3552575,0.0,0.0,0.0
1770814463.4053497,0.0,0.0,0.0
1770814463.455442,0.0,0.0,0.0
1770814463.5055027,0.0,0.0,0.0
1770814463.5555634,0.0,0.0,0.0
1770814463.6056583,0.0,0.0,0.0
1770814463.65572,0.0,0.0,0.0
1770814463.705782,0.0,0.0,0.0
1770814463.7558439,0.0,0.0,0.0
1770814463.8059049,0.0,0.0,0.0
1770814463.8559968,0.0,0.0,0.0
1770814463.906058,0.0,0.0,0.0
1770814463.9561498,0.0,0.0,0.0
1770814464.0062404,0.0,0.0,0.0
1770814464.0563307,0.0,0.0,0.0
1770814464.1064217,0.0,0.0,0.0
1770814464.1565135,0.0,0.0,0.0
1770814464.206606,0.0,0.0,0.0
1770814464.2566965,0.0,0.0,0.0
1770814464.306759,0.0,0.0,0.0
1770814464.3568532,0.0,0.0,0.0
1770814464.4069152,0.0,0.0,0.0
1770814464.4569767,0.0,0.0,0.0
1770814464.5070677,0.0,0.0,0.0
1770814464.5571277,0.0,0.0,0.0
1770814464.6072187,0.0,0.0,0.0
1770814464.6573136,0.0,0.0,0.0
1770814464.707408,0.0,0.0,0.0
1770814464.757514,0.0,0.0,0.0
1770814464.8075783,0.0,0.0,0.0
1770814464.857674,0.0,0.0,0.0
1770814464.9077687,0.0,0.0,0.0
1770814464.9578304,0.0,0.0,0.0
1770814465.0079207,0.0,0.0,0.0
1770814465.0580132,0.0,0.0,0.0
1770814465.108074,0.0,0.0,0.0
1770814465.1581657,0.0,0.0,0.0
1770814465.2082586,0.0,0.0,0.0
1770814465.2583487,0.0,0.0,0.0
1770814465.3084095,0.0,0.0,0.0
1770814465.3585012,0.0,0.0,0.0
1770814465.4085627,0.0,0.0,0.0
1770814465.4586256,0.0,0.0,0.0
1770814465.5086868,0.0,0.0,0.0
1770814465.5587487,0.0,0.0,0.0
1770814465.6088061,0.0,0.0,0.0
1770814465.6589062,0.0,0.0,0.0
